G.S.S.S., AMROH
G.P.S. DARBELI
G.H.S., SASAN (EAST PART)
G.H.S., SASAN (WEST PART)
G.M.S.,NERI
G.P.S., BALETA KALAN
G.S.S.S., NALTI
G.P.S., ABDYAL
G.P.S., BAKARATI
G.P.S., KASWAR
G.M.S., BAKARATI
G.M.S.KHAGAL
Mahila Mandal Bhawan Dulehra
G.P.S.MATANI (EAST PART)
G.P.S.,MATANI (WEST PART)
G.P.S. Annu Khurd (E.W.)
G.P.S. Annu Khurd (W.W.)
ELECTRICITY REST HOUSE, HAMIRPUR (EAST PART)
ELECTRICITY REST HOUSE, HAMIRPUR (WEST PART)
G.S.S.S., (Boys) HAMIRPUR (E.W.)
G.S.S.S., (Boys) HAMIRPUR (WEST PART)
G.S.S.S. (Boys) HAMIRPUR (NORTH PART)
Office of Ex-Serviceman Employment Cell Hamirpur
SAINIK REST HOUSE, HAMIRPUR, GROUND FLOOR
GAUTAM GIRL DEGREE COILLEGE ,HAMIRPUR
G.P.S. HAMIRPUR (EAST PART)
G.P.S., HAMIRPUR (WEST PART)
G.S.S.S., (GIRLS), HAMIRPUR (EAST PART)
G.S.S.S., (GIRLS),HAMIRPUR (WEST PART)
G.S.S.S., (GIRLS), HAMIRPUR (NORTH PART)
GOVT. POLY. Tech. COLLEGE, HAMIRPUR (EART PART)
GOVT. POLY. COLLEGE, HAMIRPUR (WEST PART)
G.P.S. LALIHAN
G.S.S.S. JHAGDIYANI (EAST PART)
G.S.S.S. JHAGDIYANI (WEST PART)
G.S.S.S., JHAGDIYANI (NORTH PART)
G.S.S.S. JHAGDIYANI (SOUTH PART)
G.M.S.DALYAHU
G.H.S. BARI
G.M.S.GHARTHEDI (EAST PART)
G.M.S., GHARTHEDI (WEST PART)
G.H.S., DUGHA (EAST PART)
G.H.S. DUGHA (WEST PART)
G.H.S. DUGHA (NORTH PART)
G.M.S. HALLANA KALLAR
G.H.S. GULELA
G.S.S.S. Bohni (EAST PART)
G.P.S., Bohni
G.S.S.S. Bohni (W.P.)
G.P.S., GASOTA
G.M.S. Sawahal
JANJ GHAR, MOHIN
G.P.S. BALH
Community Center, Ghanal Kalan
G.M.S., ROPA
G.M.S.BHARIN
G.M.S.ROPA
G.H.S. BAFFRIN (EAST PART)
G.H.S., BAFFRIN (WEST PART)
G.S.S.S. LAMBALOO
G.H.S. JHATWAR
G.P.S.Dabrera
G.P.S., BHARNOT
G.H.S., BALOH
G.P.S.ROHALWIN
PANCHAYAT GHAR,Pandher
G.M.S., JIWIN
G.M.S.CHAMNED
G.H.S., BHARTHIAN
PANCHAYAT GHAR, DHAROG
G.P.S. DIDWIN TIKKAR (EAST PART)
G.P.S., DIDWIN TIKKAR (WEST PART)
G.S.S.S., DIDWIN TIKKAR (EAST PART)
G.P.S. Bamana
G.M.S., AMNED
GSSS TAL (EAST PART)
GSSS TAL (WEST PART)
GSSS TAL (NORTH PART)
G.M.S., NAHALAWIN (EAST PART)
G.M.S.NAHALAWIN (WEST PART)
GPS AGHAR (EAST PART)
GPS AGHAR (WEST PART)
G.S.S.S., MAIR
G.P.S. Bhagetu
G.P.S., PANDWIN
G.M.S.SANED
G.M.S., UKHALI
G.P.S., NALANGAR
G.P.S. DARBOR
Community Center, Nara Jiana
G.H.S. BARAHLARI
G.P.S., DUDHANA GHIRTHA
